M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
F,0.615,0.5,0.175,1.377,0.5585,0.33,0.292,12
F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9
I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
F,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17
F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,18
M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
I,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7
I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9
M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6
I,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755,9
M,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
F,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10
M,0.505,0.4,0.135,0.723,0.377,0.149,0.178,7
F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11
F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,8
I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,9
I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11
I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8
M,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
M,0.63,0.505,0.175,1.221,0.555,0.252,0.34,12
I,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7
I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
