a,1,b,3,c,2,draw
c,2,f,7,a,2,two
b,1,h,4,b,4,fourteen
c,3,f,1,e,4,thirteen
b,1,e,7,a,3,eleven
d,1,e,8,d,5,fourteen
d,1,b,2,a,3,draw
c,3,h,2,f,1,six
d,3,f,5,c,6,eleven
c,1,d,8,f,8,fourteen
d,1,c,1,e,3,fifteen
d,3,g,1,d,5,twelve
a,1,h,5,h,8,fourteen
c,1,g,4,c,6,fourteen
c,2,h,5,g,3,eleven
b,2,h,3,h,7,thirteen
b,1,e,3,c,6,fourteen
c,1,b,6,e,1,nine
c,1,h,6,f,7,thirteen
c,2,e,4,c,7,twelve
a,1,b,5,e,4,fifteen
b,1,b,3,a,8,seven
d,1,h,7,f,3,fourteen
d,2,b,3,c,5,thirteen
c,2,b,8,c,5,thirteen
b,1,g,7,a,3,eleven
c,1,d,7,d,4,fifteen
d,2,d,7,d,6,draw
d,2,h,6,f,7,twelve
c,2,h,4,c,7,thirteen
b,2,h,3,d,3,fifteen
b,1,d,3,h,6,fourteen
d,4,a,7,h,6,nine
d,3,g,1,c,1,six
c,1,b,5,d,5,fourteen
b,1,d,6,d,5,draw
b,1,e,3,a,4,thirteen
d,1,h,3,b,6,thirteen
d,2,a,5,e,6,twelve
d,2,f,1,f,4,fourteen
d,3,a,4,g,8,eleven
d,3,a,8,f,6,twelve
a,1,b,3,g,4,fifteen
d,2,f,1,e,6,thirteen
d,1,h,6,a,8,twelve
a,1,b,5,e,3,fifteen
b,2,d,8,h,4,thirteen
a,1,f,1,h,1,thirteen
