M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
M,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11
I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3
M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14
I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
M,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,11
I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6
F,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15
M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
M,0.66,0.485,0.155,1.2275,0.61,0.274,0.3,8
M,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,10
M,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19
F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10
I,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,10
M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23
F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
F,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8
F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11
M,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12
M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5
I,0.55,0.43,0.145,0.712,0.3025,0.152,0.225,10
F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27
I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6
M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16
F,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10
M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18
M,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10
F,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
M,0.67,0.5,0.19,1.519,0.616,0.388,0.415,10
M,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,24
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21
I,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,8
M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
F,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7
M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11
F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
